Tag,Query,Uploaded?,Web of Science Query
Sensors,"Protected Areas, Conservation, Wildlife ""Sensors"" when:1y",Done,(TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))))))
Sensors-Marine,"Marine OR Aquatic AND (Wildlife OR Protected Areas OR Conservation) Sensing Technology when:1y",Done,(TS=(Marine) OR TS=(Aquatic)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))))))
Sensors-Remote,"Wildlife OR Protected Areas OR Conservation ""Remote Sensing"" when:1y",Done,(TS=(Wireless) OR TS=(Remote)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2019) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))
Sensors-Wireless,"Wildlife OR Protected Areas OR Conservation Wireless Sensors when:1y",Done,(TS=(Wireless) OR TS=(Remote)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2020-2022) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))
Sensors-Optical,,,TS=(Optical Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Thermal,,,TS=(Thermal Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Spectral,,,TS=(Spectral Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Radar,,,TS=(Radar) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Lidar,,,TS=(Lidar) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Motion,,,(TS=(Motion Sensors) OR TS=(Position Sensors)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Sonar,,,TS=(Sonar) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Vibration,,,TS=(Vibration Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Imagery-Remote,,,(TS=(Remote imagery) OR TS=(Remote Sensing)) AND PY=(2017-2022) AND TS=(Conservation) AND TS=(Wildlife)
Fire-Monitoring,,,TS=(Fire) AND (TS=(Sensors) OR TS=(Sensing) OR TS=(Monitoring)) AND (TS=(Wildlife) OR (TS=(Conservation) AND (TS=(Biodiversity) OR TS=(Animals)))) AND PY=(2017-2022)
Fire-Monitoring-2,,,(TS=(Forest Fire Monitoring) OR TS=(Forest Fire Prediction)) AND (TS=(Wildlife) OR (TS=(Conservation) AND WC=(Biodiversity Conservation))) AND PY=(2017-2022)
Trackers,,,TS=(Tracker) AND PY=(2017-2022) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))) NOT TS=(Review)
Vehicles,,,TS=(Vehicle) AND PY=(2017-2022) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))
Camera-Traps,,,TS=(Wildlife) AND AK=(Camera traps) AND (WC=(Remote Sensing) OR WC=(Ecology) OR WC=(Biodiversity Conservation) OR TS=(Monitoring)) AND PY=(2017-2022)
Camera-Conservation,,,"(TS=(""camera trapping"") OR TS=(camera traps)) AND PY=(2017-2022) AND WC=(Biodiversity Conservation) AND (TS=(protected areas) OR TS=(conservation)) OR (TS=(""camera trapping"") OR TS=(camera traps)) AND PY=(2017-2022) AND (TS=(protected areas) OR TS=(conservation)) AND TS=(Wildlife)"
Sensors-Poaching,,,(TS=(Poachers) OR TS=(Poaching)) AND (TS=(Cameras) OR TS=(Sensors) OR TS=(Detectors)) AND (TS=(Wildlife) OR (TS=(Conservation) AND (TS=(Animals) OR TS=(Biodiversity))))
Telemetry,,,TS=(Telemetry) AND (TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND PY=(2017-2022) NOT WC=(Engineering Electrical Electronic)
,,,TS=(Telemetry) AND ((TS=(Animals) OR TS=(Species)) AND (TS=(Conservation) OR TS=(Protected Areas)) OR TS=(Biodiversity)) AND PY=(2017-2022)
,,,TS=(Telemetry) AND TS=(Wildlife) AND PY=(2017-2022)
,,,TS=(Telemetry) AND ((TS=(Animals) OR TS=(Biodiversity)) AND (TS=(Conservation) OR TS=(Protected Areas))) AND PY=(2017-2022)
Radio-Wildlife,,,TS=(Radio) AND TS=(Wildlife) AND PY=(2017-2022)
Radio-AnimalCons,,,TS=(Radio) AND ((TS=(Animals) OR TS=(Biodiversity)) AND (TS=(Conservation) OR TS=(Protected Areas))) AND PY=(2017-2022)
IoT-General,,,TS=(IoT) AND PY=(2017-2022) AND (((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))))
IoT-Wildlife,,,TS=(IoT) AND TS=(Wildlife) AND PY=(2017-2022)
IoT-Species,,,TS=(IoT) AND (TS=(Wildlife) OR TS=(Biodiversity) OR TS=(Species)) AND PY=(2017-2022)
IoT-Cons,,,TS=(IoT) AND (TS=(Wildlife) OR TS=(Biodiversity) OR TS=(Species)) AND PY=(2017-2022) AND TS=(Conservation)
Bioacoustics,,,"TS=(Bioacoustics) AND ((TS=(wildlife) OR TS=(protected areas)) OR TS=(""Conservation"")) AND PY=(2017-2022)"
Acoustic-Monitoring,,,(TS=(Acoustic monitoring) OR TS=(Vocal behavior) OR TS=(Audio monitor)) AND PY=(2017-2022) AND (TS=(Wildlife) OR (TS=(Conservation) AND (TS=(Biodiversity) OR TS=(Animals))))
Acoustic-Classification,,,TS=(Classification) AND (TS=(Bioacoustics) OR TS=(Acoustic monitoring) OR TS=(Vocal behavior) OR TS=(Audio monitor)) AND PY=(2017-2022) AND (TS=(Wildlife) OR (TS=(Conservation) AND (TS=(Biodiversity) OR TS=(Animals))))
Acoustic-Passive,,,"TS=(Passive acoustics) AND ((TS=(wildlife) OR TS=(protected areas)) OR TS=(""Conservation"")) AND PY=(2017-2022)"
Acoustic-Ornitology,,,TS=(Ornithology) AND (TS=(Wildlife) OR TS=(Conservation)) AND PY=(2017-2022)
AI-General,,,(((TS=(artificial intelligence) OR TS=(neural networks)) OR TS=(AI)) AND ((TS=(protected areas) OR TS=(conservation)) AND TS=(wildlife))) AND PY=(2017-2022)
AI-CNN,,,TS=(Convolutional Neural Networks) AND (WC=(Biodiversity Conservation) OR TS=(Wildlife) OR (TS=(Conservation) AND TS=(Protected Areas))) AND PY=(2017-2022)
AI-Optimization,,,(TS=(Regularity Conditions) OR TS=(Optimal Conditions)) AND (TS=(Wildlife) OR (TS=(Conservation) AND TS=(Protected Areas)) OR WC=(Biodiversity Conservation)) AND PY=(2017-2022) NOT TS=(Urbanization)
AI-Classification,,,TS=(Automated Classification) AND (TS=(Wildlife) OR (TS=(Conservation) AND TS=(Protected Areas)) OR WC=(Biodiversity Conservation)) AND PY=(2017-2022) NOT TS=(Urbanization) NOT AK=(Human-Wildlife Conflict)
AI-LTS,,,TS=(Line Transect Survey) AND (TS=(Wildlife) OR (TS=(Conservation) AND TS=(Protected Areas)) OR WC=(Biodiversity Conservation)) AND PY=(2017-2022) NOT TS=(Urbanization) NOT AK=(Human-Wildlife Conflict)
AI-RL,,,(TS=(Classification and Regression Trees) OR TS=(Regression Algorithms) OR WC=(Behavioral Ecology) OR TS=(Decision Focused Algorithms)) AND (TS=(Wildlife) AND (TS=(Conservation) OR TS=(Protected Areas))) AND PY=(2017-2022) 
Drones,,,(TS=(Drones) OR TS=(Aircraft Systems) OR TS=(Aerial Survey) OR TS=(UAV) OR TS=(Unmanned Aerial Vehicles) OR TS=(Unoccupied Aircraft Systems) OR TS=(Aerial Vehicles)) AND (TS=(Management) OR TS=(Monitoring) OR TS=(Aerial Mapping) OR WC=(Biodiversity Conservation) OR TS=(Conservation) OR TS=(Protected Areas)) AND PY=(2017-2022) AND TS=(Wildlife)