Tag,Query,Uploaded?
Sensors,"Protected Areas, Conservation, Wildlife ""Sensors"" when:1y",Done
Sensors-Marine,Marine OR Aquatic AND (Wildlife OR Protected Areas OR Conservation) Sensing Technology when:1y,Incomplete
Sensors-Remote,"Wildlife OR Protected Areas OR Conservation ""Remote Sensing"" when:1y",Done
Sensors-Wireless,Wildlife OR Protected Areas OR Conservation Wireless Sensors when:1y,Incomplete
Sensors-Optical,"Wildlife OR Protected Areas OR Conservation ""Optical"" Sensors when:1y",
Sensors-Thermal,"Wildlife OR Protected Areas OR Conservation ""Thermal"" Sensors when:1y",
Sensors-Spectral,"Wildlife OR Protected Areas OR Conservation ""Spectral"" Sensors when:1y",
Sensors-Radar,"Wildlife OR Protected Areas OR Conservation ""Radar"" Sensors when:1y",
Sensors-Lidar,"Wildlife OR Protected Areas OR Conservation ""Lidar"" Sensors when:1y",
Sensors-Motion,"Wildlife OR Protected Areas OR Conservation ""Motion"" Sensors when:1y",
Sensors-Sonar,"Wildlife OR Protected Areas OR Conservation ""Sonar"" Sensors when:1y",
Sensors-Vibration,"Wildlife OR Protected Areas OR Conservation ""Vibration"" Sensors when:1y",
Imagery-Remote,"Wildlife OR Protected Areas OR Conservation ""Remote"" ""Imagery"" when:1y",
Fire-Monitoring,Wildlife OR Protected Areas OR Conservation Fire Monitoring Technology when:1y,
Trackers,,
Vehicles,,
Camera-Traps,,
Camera-Conservation,,
Sensors-Poaching,,
Telemetry,,
,,
,,
,,
Radio-Wildlife,,
Radio-AnimalCons,,
IoT-General,,
IoT-Wildlife,,
IoT-Species,,
IoT-Cons,,
Bioacoustics,,
Acoustic-Monitoring,,
Acoustic-Classification,,
Acoustic-Passive,,
Acoustic-Ornitology,,
AI-General,,
AI-CNN,,
AI-Optimization,,
AI-Classification,,
AI-LTS,,
AI-RL,,
Drones,,